ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
tomo1244-1-0017,tomo1244-1,tusk,henio,"ne=henio (sg), e=henio (pl); ka-henio (prefix /ka-/), la-henio ('tusk piece, broken tusk') (prefix /la-/)",literally 'stick tooth'?,BarlowKillian2023
tomo1244-1-0018,tomo1244-1,horn (of a lizard),hoago,e=hoago (pl),,BarlowKillian2023
tomo1244-1-0019,tomo1244-1,wrist,hore,,,BarlowKillian2023
tomo1244-1-0020,tomo1244-1,"muscle, strength",ileŋ,"ileŋ lo-n (3sg), ileŋ lo (before noun)",,BarlowKillian2023
tomo1244-1-0021,tomo1244-1,hair; feather,ʝu,e=ʝu (pl); e=ʝu lo-n (3sg)/(pl),same as 'fire'?,BarlowKillian2023
tomo1244-1-0022,tomo1244-1,gray hair,ʝu bir,,literally 'hair white',BarlowKillian2023
tomo1244-1-0023,tomo1244-1,moustache,ʝu pini,e=ʝu pini e=n (3sg)/(pl),literally 'hair lip',BarlowKillian2023
tomo1244-1-0024,tomo1244-1,"heel of the hand, heel of the foot",ka,,same as 'parrot'?; same as 'fence'?,BarlowKillian2023
tomo1244-1-0025,tomo1244-1,"groin, crotch",ka,,same as 'parrot'?; same as 'fence'?,BarlowKillian2023
tomo1244-1-0026,tomo1244-1,"liver; intestines, guts",kaedi,"e=kaedi (pl); kaedi lo-n (3sg); kaedi lo (before noun), kaedi no (before noun)",,BarlowKillian2023
tomo1244-1-0027,tomo1244-1,fur; body hair,kaʝu,e=kaʝu (pl),prefix /ka-/ with /ʝu/ 'hair'; same as 'lit piece of firewood'?,BarlowKillian2023
tomo1244-1-0028,tomo1244-1,"chin, cheek (?)",kaku,,prefix /ka-/?; the meaning is uncertain: found in /kaku ʝu/ 'beard',BarlowKillian2023
tomo1244-1-0029,tomo1244-1,beard,kaku ʝu,,prefix /ka-/?; the meaning of /kaku/ is uncertain; /ʝu/ means 'hair',BarlowKillian2023
tomo1244-1-0030,tomo1244-1,temple of the head,kalas,,prefix /ka-/?,BarlowKillian2023
tomo1244-1-0031,tomo1244-1,knuckle,kame,kame-n (3sg),,BarlowKillian2023
tomo1244-1-0032,tomo1244-1,"chin, cheek",kao,kao-n (3sg),or is this /ka o/?; same as 'parrot'?; same as 'fence'?; also /kaku/?,BarlowKillian2023
tomo1244-1-0033,tomo1244-1,back of the body; backside; stern of a canoe,kap,"kap lo-n (3sg), kap lo (before noun)","cf. /kap lo/ 'back of, behind'",BarlowKillian2023
tomo1244-1-0034,tomo1244-1,"intestines, guts",kebi,kebi e-n (3sg),cf. /kobi/ 'bottom',BarlowKillian2023
tomo1244-1-0035,tomo1244-1,nape of the neck,kero,,,BarlowKillian2023
tomo1244-1-0036,tomo1244-1,"leg, foot",kia,"kia-n (3sg); ro=kia-n (3sg)/(du), e=kia-n (3sg)/(pl)",,BarlowKillian2023
tomo1244-1-0037,tomo1244-1,bone,kinto,kinto no-n (3sg),or is this /kin to/?,BarlowKillian2023
tomo1244-1-0038,tomo1244-1,"backbone, spine",kinto ŋa kap,kinto ŋa kap lo-n (3sg),literally 'bone of back',BarlowKillian2023
tomo1244-1-0039,tomo1244-1,"hip, hip bone",kip,,,BarlowKillian2023
tomo1244-1-0040,tomo1244-1,stinger (of an insect),kner,,,BarlowKillian2023
tomo1244-1-0041,tomo1244-1,"palate, roof of mouth",kniŋ,,loan from Sulka? (cf. Tharp 1996: 162: <kning> 'roof of mouth'),BarlowKillian2023
tomo1244-1-0042,tomo1244-1,fist,ko,,same as 'crayfish sp.'?,BarlowKillian2023
tomo1244-1-0043,tomo1244-1,fist of the hand,ko lalma,ko lalma-n (3sg),literally 'fist hand',BarlowKillian2023
tomo1244-1-0044,tomo1244-1,"mucus, snot",kok,e=kok (pl),same as 'praying mantis'?,BarlowKillian2023
tomo1244-1-0045,tomo1244-1,testicle,kom,"ro=kom (du), e=kom (pl)",same as '2pl'?,BarlowKillian2023
tomo1244-1-0046,tomo1244-1,spleen,koβoe,,,BarlowKillian2023
tomo1244-1-0047,tomo1244-1,wing,kube,kube lo-n (3sg),,BarlowKillian2023
tomo1244-1-0048,tomo1244-1,"digit; finger, toe; root of a tree",kuk,e=kuk (pl),,BarlowKillian2023
tomo1244-1-0049,tomo1244-1,"belch, burp",kuri,,,BarlowKillian2023
tomo1244-1-0050,tomo1244-1,knee,lakilia,lakilia-n (3sg),"prefix /la-/ with /ki/ 'leg, foot'?; meaning of /li/ or /lia/ unclear; cf. Grace (1955a): <laki> 'elbow, knee'",BarlowKillian2023
tomo1244-1-0051,tomo1244-1,"hand, arm",lalma,"ro=lalma (du); lalma-ʝo (1sg), lalmi-m [lalmim ~ lalmem] (2sg), lalma-ke (2sg), lalma-n (3sg), e=lalma-kem (1pl.excl)/(pl), e=lalma-sier (1pl.incl)/(pl), e=lalma-kom (2pl)/(pl), lalma-di (3pl), e=lalmadi (3pl)/(pl), e=lalma-ka (1du.excl)/(pl), e=lalma-ta (1du.incl)/(pl), lalma-ta (1du.incl), lalma-kuma (2du), lalma ikuma (2du), lalma-doro (3du)","from *la-l[i]ma, with prefix /la-/, also /gua-/, based on Ross (1980)",BarlowKillian2023
tomo1244-1-0052,tomo1244-1,fin of a fish,lan,,"also /salmeŋ/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0053,tomo1244-1,"forehead, face",lem,lem ta-n (3sg),,BarlowKillian2023
tomo1244-1-0054,tomo1244-1,side of the body,lio,,same as 'to copulate'?,BarlowKillian2023
tomo1244-1-0055,tomo1244-1,"boil, blister",lor,ne=lor (sg),,BarlowKillian2023
tomo1244-1-0056,tomo1244-1,nipple,luβa,,,BarlowKillian2023
tomo1244-1-0057,tomo1244-1,sneeze,mate,,,BarlowKillian2023
tomo1244-1-0058,tomo1244-1,"sore, wound",mek,m=mek (sg); m=mek an-ke (2sg),,BarlowKillian2023
tomo1244-1-0059,tomo1244-1,"jawbone; biceps, upper arm; calf, lower leg ",menhe,,"perhaps has a general meaning along the lines of 'mound, bump, protrusion'",BarlowKillian2023
tomo1244-1-0060,tomo1244-1,urine,mim,"m=mim (sg), e=mim (pl)",,BarlowKillian2023
tomo1244-1-0061,tomo1244-1,"palm of the hand, sole of the foot; inside of something",mnam,,,BarlowKillian2023
tomo1244-1-0062,tomo1244-1,blood; sap of a tree; spirit type (TP: masalai),motom,"motom ano-n (3sg), motom no (before noun), motom lo (before noun); e=motom (pl)",,BarlowKillian2023
tomo1244-1-0063,tomo1244-1,"menses, menstrual blood",motom mpu,,literally 'blood month'?,BarlowKillian2023
tomo1244-1-0064,tomo1244-1,"vulva, vagina",motu,,"also /pu/; /bor/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0065,tomo1244-1,"navel, belly button",muop,"m=muop (sg), muop lo-n (3sg), muop ano-n (3sg)",same as 'taro'?,BarlowKillian2023
tomo1244-1-0066,tomo1244-1,tooth,nio,"ka-nio (prefix /ka-/), nio an-ke (2sg), nio no-n (3sg)",,BarlowKillian2023
tomo1244-1-0067,tomo1244-1,brain,nir,ne=hir lo-n (3sg)/(sg) (?) [from Ross (1980): <ne her lon> '(his) brain')],"also /muom/, based on Grace (1955a); Reesink (2005: 183); same as 'awake'?; from *n-hir?",BarlowKillian2023
tomo1244-1-0068,tomo1244-1,buttocks,nobi,nobi e-n (3sg),prefix /no-/?; cf. /kobi/ 'bottom',BarlowKillian2023
tomo1244-1-0069,tomo1244-1,bladder,ŋgol hormim,,literally 'bag urinate',BarlowKillian2023
tomo1244-1-0070,tomo1244-1,"uterus, womb",ŋgol muop,,literally 'bag navel',BarlowKillian2023
tomo1244-1-0071,tomo1244-1,eye,ŋom,"ŋom to-m (2sg), ŋom ta-n (3sg); ro=ŋom ta-n (3sg)/(du)",form of /ŋoma/ 'eye' used with preposition /ta/ ~ /to/,BarlowKillian2023
tomo1244-1-0072,tomo1244-1,eye,ŋoma,"ŋoma-ʝo (1sg), ŋoma-ke (2sg), ŋoma (before noun), e=ŋoma (before noun)/(pl)","direct possession?; cf. /ŋom/ 'eye', used with preposition ",BarlowKillian2023
tomo1244-1-0073,tomo1244-1,bald spot; cassowary casque,pal,"m=pal (sg), e=m=pal (pl) (?); buŋ-pal (prefix /buŋ-/)",reanalyzed singular /m=/?,BarlowKillian2023
tomo1244-1-0074,tomo1244-1,ear; gill,palieŋ,"ro=palieŋ (du); palieŋ no-ʝo (1sg), palieŋ lo-ʝo (1sg), palieŋ n-ke (2sg), palieŋ ano-n (3sg)",same as 'mushroom'?,BarlowKillian2023
tomo1244-1-0075,tomo1244-1,earlobe,palieŋ del,"palieŋ del ŋa-ʝo (1sg), palieŋ del ŋa-ke (2sg), palieŋ del ŋa-n (3sg)",literally 'ear mouth'?,BarlowKillian2023
tomo1244-1-0076,tomo1244-1,head,pana,pana lo-n (3sg),also /bla/,BarlowKillian2023
tomo1244-1-0077,tomo1244-1,"skin, body; hull of a canoe",pel,"pel to-ʝo (1sg), pel to-ke (2sg) pel to-n (3sg), pel to (before noun), pel to no (?) (before noun)",,BarlowKillian2023
tomo1244-1-0078,tomo1244-1,fishtail,pelpel,,reduplication,BarlowKillian2023
tomo1244-1-0079,tomo1244-1,"scale of fish; ringworm, tinea (TP: grile)",pin,"ne=pin (sg), e=pin (pl)",,BarlowKillian2023
tomo1244-1-0080,tomo1244-1,"lip, lips",pini,pini e-n (3sg),,BarlowKillian2023
tomo1244-1-0081,tomo1244-1,nail,pla,,same as 'skin'? (perhaps must cooccur with /kuk/),BarlowKillian2023
tomo1244-1-0082,tomo1244-1,"skin, animal hide; bark; husk of a coconut or areca nut; peel of a banana",pla,pla e-n (3sg); ne=pla e-n (3sg)/(sg),same as 'nail'?,BarlowKillian2023
tomo1244-1-0083,tomo1244-1,"fingernail, toenail; claw",pla kuk,,literally 'nail digit',BarlowKillian2023
tomo1244-1-0084,tomo1244-1,throat,pore,,"also /purmi/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0085,tomo1244-1,hoof (of a pig),porkin,ne=porkin (sg),,BarlowKillian2023
tomo1244-1-0086,tomo1244-1,penis,psi,psi e-n (3sg),"or is this /psie/?; same as 'to flatulate, to fart'?",BarlowKillian2023
tomo1244-1-0087,tomo1244-1,"fat, grease",punon,"punon ano (before noun), punon no (before noun)","also /hediu/, based on Grace (1955a); Ross (1980)",BarlowKillian2023
tomo1244-1-0088,tomo1244-1,gums,sio,e=sio (pl),,BarlowKillian2023
tomo1244-1-0089,tomo1244-1,chest,taba,taba lo-n (3sg),,BarlowKillian2023
tomo1244-1-0090,tomo1244-1,"sternum, breastbone",taba kinto,,literally 'chest bone',BarlowKillian2023
tomo1244-1-0091,tomo1244-1,anus,tarmar nobi,tarmar nobi e-n (3sg),"literally 'hole buttocks'; also /pumia/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0092,tomo1244-1,"excrement, feces",tek,e=tek (pl),same as 'post'?,BarlowKillian2023
tomo1244-1-0093,tomo1244-1,hiccup,tiŋ,,,BarlowKillian2023
tomo1244-1-0094,tomo1244-1,"clavicle, collarbone",to,to lo-n (3sg),same as /pto/ 'buttress root'?; cf. Ross (1980): <eptolon> '(his) bone',BarlowKillian2023
tomo1244-1-0095,tomo1244-1,tongue,tom,"tom lo-ʝo (1sg), tom lol-ʝo (1sg), tom lo-m (2sg), tom lol-ke (2sg), tom lo-n (3sg), tom lol (before noun)",,BarlowKillian2023
tomo1244-1-0096,tomo1244-1,"monitor lizard, reptile",tuguk,e=tuguk (pl); ka-tuguk (prefix /ka-/),,BarlowKillian2023
tomo1244-1-0097,tomo1244-1,shoulder,βaŋha,,"also /βoloha/, /βolha/; /em/, based on Grace (1955a); /be/, based on Ross (1980)",BarlowKillian2023
tomo1244-1-0098,tomo1244-1,semen,βara βuo,,loan from Tok Pisin /wara/ 'water'?; the meaning of /βuo/ is uncertain,BarlowKillian2023
tomo1244-1-0099,tomo1244-1,ribs,βari,e=βari (pl); βari no (before noun); e=βari lo-n (3sg)/(pl) [from Ross (1980): <e vari lon> '(his) rib'],,BarlowKillian2023
tomo1244-1-0100,tomo1244-1,scar,βel,,,BarlowKillian2023
tomo1244-1-0101,tomo1244-1,shoulder,βolha,,"also /βoloha/ and /βaŋha/; /em/, based on Grace (1955a); /be/, based on Ross (1980)",BarlowKillian2023
tomo1244-1-0102,tomo1244-1,shoulder,βoloha,βoloha no-ʝo (1sg),"also /βolha/ and /βaŋha/; /em/, based on Grace (1955a); /be/, based on Ross (1980)",BarlowKillian2023
tomo1244-1-0103,tomo1244-1,"tear, teardrop; dew",βrik,e=βrik (pl),or is this /oβrik/? (but initial /o-/ is unexpected); cf. /rir/ 'fuzz',BarlowKillian2023
tomo1244-1-0104,tomo1244-1,elbow,βulβul,,reduplication; loan from Sulka? (cf. Lindrud 1980: 178: <ḳatiʌk ka ƀulƀul> '(his) elbow'); cf. /βulβulie/ 'to boil',BarlowKillian2023
tomo1244-1-0105,tomo1244-1,child (kinship term),alpun,n=alpun (sg); kotik alpun (sg),is this /al pun/ ~ /al pu-n/?; is there 3sg marking?; also /nalpun/,BarlowKillian2023
tomo1244-1-0106,tomo1244-1,"son, boy",alpun nobuŋ,n=alpun nobuŋ (sg),literally 'child man',BarlowKillian2023
tomo1244-1-0107,tomo1244-1,"daughter, girl",alpun nolo,n=alpun nolo (sg),literally 'child woman',BarlowKillian2023
tomo1244-1-0108,tomo1244-1,child; man's sister's daughter (niece),alum,"n=alum (sg); n=alum-ʝo (1sg)/(sg), kotik alum-ʝo (1sg), n=alum-ke (2sg)/(sg), kotik alum-ke (2sg), kotik alum (unpossessed?); as neice: alum-ʝo (1sg), halum-ʝo (1sg), alum-ke (2sg), halum-ke (2sg), alum (before noun)","is this /al um/?; also /nalum/, /halum/",BarlowKillian2023
tomo1244-1-0109,tomo1244-1,"father, papa (vocative)",amma,amma no-ʝo (1sg),also /amma/,BarlowKillian2023
tomo1244-1-0110,tomo1244-1,father's younger brother,amma kakae,amma me-kakae (prefix /me-/),literally 'papa small',BarlowKillian2023
tomo1244-1-0111,tomo1244-1,father's older brother,amma pur,,literally 'papa big',BarlowKillian2023
tomo1244-1-0112,tomo1244-1,"mother, mama (vocative)",anno,,also /no/,BarlowKillian2023
tomo1244-1-0113,tomo1244-1,father's younger sister,anno kakae,,literally 'mother small',BarlowKillian2023
tomo1244-1-0114,tomo1244-1,father's older sister,anno pur,,literally 'mother big',BarlowKillian2023
tomo1244-1-0115,tomo1244-1,"man's sister's son (nephew, reciprocal of TP kandere)",baralpuŋ,baralpuŋ ano (before noun),"fossilized 1sg marking?; cf. /bara/ 'other'; cf. /alpun/ 'child'; also /baralum/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0116,tomo1244-1,"big man, chief",bara pur,,literally 'person big',BarlowKillian2023
tomo1244-1-0117,tomo1244-1,friend,bi,"bi-ʝo (1sg); m=bi-ʝo (1sg)/(sg), m=bo (?); bi-ta (1du.incl?)/(sg) [from Parkinson (1907)]; m=bi-ta (1du.incl?) [from Grace (1955a)]","or is this /bo-/?; Parkinson (1907: 779) records <bita> 'er, sie, es' ['he, she, it'], and Grace (1955a) records <mbita> 'he': could these both be 'our [1du.incl] friend' (the latter form also with singular marking)?",BarlowKillian2023
tomo1244-1-0118,tomo1244-1,"spouse's mother, son's wife (different-generation female affine, in-law)",bla,"bla no-ʝo (1sg), bla no-n (3sg)",same as 'head'?,BarlowKillian2023
tomo1244-1-0119,tomo1244-1,sister; female parallel cousin,deβi,"deβi-ʝo (1sg), deβi-ke (2sg), deβi-m (2sg), deβi-n (3sg), deβi (before noun); ro deβi-n (3sg)/(du)",,BarlowKillian2023
tomo1244-1-0120,tomo1244-1,younger sister,deβi kakae,"deβi-n kakae (3sg), deβi-n me-kakae (3sg)/(prefix /me-/)",literally 'sister small',BarlowKillian2023
tomo1244-1-0121,tomo1244-1,father's sister (paternal aunt),deβi mimma,deβin mimma-n (3sg),literally 'sister father',BarlowKillian2023
tomo1244-1-0122,tomo1244-1,older sister,deβi pur,deβi-n me-pur (3sg)/(prefix /me-/),literally 'sister big',BarlowKillian2023
tomo1244-1-0123,tomo1244-1,mother's sister (maternal aunt),deβi tena,"deβi teni-m (2sg), deβi tena-n (3sg), tena deβi-n (3sg)",literally 'sister mother',BarlowKillian2023
tomo1244-1-0124,tomo1244-1,brother; male parallel cousin,die,"die-ʝo (1sg), die-ke (2sg), die-k (3sg), die no-n (3sg), die (before noun)",,BarlowKillian2023
tomo1244-1-0125,tomo1244-1,younger brother,die kakae,die me-kakae (prefix /me-/),literally 'brother small',BarlowKillian2023
tomo1244-1-0126,tomo1244-1,father's brother (paternal uncle),die mimma,mimma die-k (3sg),literally 'father brother'; variable word order?,BarlowKillian2023
tomo1244-1-0127,tomo1244-1,older brother,die pur,"die me-pur (prefix /me-/); die-ʝo pur (1sg), die-ʝo me-pur (1sg)/(prefix /me-/)",literally 'brother big',BarlowKillian2023
tomo1244-1-0128,tomo1244-1,child (especially a boy),dukum,,,BarlowKillian2023
tomo1244-1-0129,tomo1244-1,child; man's sister's daughter (niece),halum,"n=alum (sg); n=alum-ʝo (1sg)/(sg), kotik alum-ʝo (1sg), n=alum-ke (2sg)/(sg), kotik alum-ke (2sg), kotik alum (unpossessed?); as neice: alum-ʝo (1sg), halum-ʝo (1sg), alum-ke (2sg), halum-ke (2sg), alum (before noun)","is this /hal um/?; also /alum/, /nalum/",BarlowKillian2023
tomo1244-1-0130,tomo1244-1,children (plural),herek,e=herek (pl),irregular plural of /kotik/ (suppletive); cf. /rek/ 'small'; cf. /horek/ 'men (plural)',BarlowKillian2023
tomo1244-1-0131,tomo1244-1,"spouse's father, daughter's husband (different-generation male affine, in-law)",hoa,"hoa no-ʝo (1sg), hoa n-ke (2sg), hoa no-n (3sg), hoa no (before noun)","same as 'vine; rope'?; means 'connected by marriage; affine'?; cf. /lami hoa/ 'husband', /pulo hoa/ 'wife'",BarlowKillian2023
tomo1244-1-0132,tomo1244-1,cross-cousin,hoda,,parallel cousins are called 'brother' and 'sister',BarlowKillian2023
tomo1244-1-0133,tomo1244-1,"women, older girls; females (plural)",holo,n=olo (sg); e=holo (pl),/h/ might imply plural; cf. /nolo/ 'woman',BarlowKillian2023
tomo1244-1-0134,tomo1244-1,"men, older boys; males (plural)",horek,,irregular plural form of /nobuŋ/ 'man' (suppletive); cf. /herek/ 'children (plural)',BarlowKillian2023
tomo1244-1-0135,tomo1244-1,enemy,imuo,e=imuo (pl),also /βaneker/,BarlowKillian2023
tomo1244-1-0136,tomo1244-1,mother's brother (maternal uncle; TP: kandere),kaka,kaka no-ʝo (1sg),"reciprocal relation of /baralpuŋ/; same as 'to be sick'?; reduplication; cf. /kakae/ 'small', used in referring to younger siblings; also /ʝaʝa/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0137,tomo1244-1,"sorcerer, warlock",kalmoliŋ,,,BarlowKillian2023
tomo1244-1-0138,tomo1244-1,lastborn,kapuru,,,BarlowKillian2023
tomo1244-1-0139,tomo1244-1,"person, human",kiliŋ,me-kiliŋ (prefix /me-/),"same as 'true, correct'; also /mor/?",BarlowKillian2023
tomo1244-1-0140,tomo1244-1,spirit type (spirit that changes into a woman),kloŋ,,also /kloŋ misis/,BarlowKillian2023
tomo1244-1-0141,tomo1244-1,spirit type (spirit that changes into a woman),kloŋ misis,,second word a loan from Tok Pisin /misis/ 'white woman'?,BarlowKillian2023
tomo1244-1-0142,tomo1244-1,"child, baby",korate,,,BarlowKillian2023
tomo1244-1-0143,tomo1244-1,child,kotik,"kotik ano-ʝo (1sg), kotik ano-n (3sg)",,BarlowKillian2023
tomo1244-1-0144,tomo1244-1,lastborn child,kotik kapuru,,literally 'child lastborn',BarlowKillian2023
tomo1244-1-0145,tomo1244-1,firstborn child,kotik mulpo,,literally 'child firstborn',BarlowKillian2023
tomo1244-1-0146,tomo1244-1,"boy, male child",kotik nobuŋ,,literally 'child man',BarlowKillian2023
tomo1244-1-0147,tomo1244-1,"girl, female child",kotik nolo,,literally 'child woman',BarlowKillian2023
tomo1244-1-0148,tomo1244-1,"older man, husband",lami,,cf. /βarlami/ 'old man',BarlowKillian2023
tomo1244-1-0149,tomo1244-1,husband,lami hoa,"lami hoa-n (3sg), lami hoa (before noun)",/lami/ 'older man' plus /hoa/ 'rope'?; or /hoa/ is 'connected by marriage',BarlowKillian2023
tomo1244-1-0150,tomo1244-1,"father, papa (vocative)",ma,,same as 'dry'?; also /amma/,BarlowKillian2023
tomo1244-1-0151,tomo1244-1,"grandfather, great-grandfather; grandson, great-grandson",mibu,"mibu-ʝo (1sg), mibu-n (3sg)",,BarlowKillian2023
tomo1244-1-0152,tomo1244-1,father; uncle,mimma,"mimma-ʝo (1sg), mimmi-m [mimmim ~ mimmem] (2sg), mimma-ke (2sg), mimma-n (3sg), mimma-n ano-n (3sg) (double possessive marking?), mimma-kem (1pl.excl), mimma-sier (1pl.incl), mimma-kom (2pl), mimma-di (3pl), mimma-ka (1du.excl), mimma-ta (1du.incl), mimma-kuma (2du), mimma-doro (3du)",also refers to paternal uncles,BarlowKillian2023
tomo1244-1-0153,tomo1244-1,white woman (?),misis,,loan from Tok Pisin /misis/ 'white woman'?; only found in /kloŋ misis/ 'spirit type',BarlowKillian2023
tomo1244-1-0154,tomo1244-1,"sorceress, witch",mokpelel,,,BarlowKillian2023
tomo1244-1-0155,tomo1244-1,"person, human (?)",muor,,"as found in /de-muor/ 'one', for counting people; possibly also /mor/, as found in /a-mor/ 'who?'; also /kileŋ/",BarlowKillian2023
tomo1244-1-0156,tomo1244-1,god,mu,,"occurs with singular marker: /m=mu/; also /nutu/, based on Grace (1955a)",BarlowKillian2023
tomo1244-1-0157,tomo1244-1,firstborn,mulpo,,,BarlowKillian2023
tomo1244-1-0158,tomo1244-1,child (kinship term),nalpun,n=alpu-n (3sg?)/(sg); kotik alpu-n (3sg?),is this /nal pun/ ~ /n=al pu-n/?; fossilized singular?; is there 3sg marking?; also /alpun/,BarlowKillian2023
tomo1244-1-0159,tomo1244-1,child; man's sister's daughter (niece),nalum,"n=alum (sg); n=alum-ʝo (1sg)/(sg), kotik alum-ʝo (1sg), n=alum-ke (2sg)/(sg), kotik alum-ke (2sg), kotik alum (unpossessed?); as neice: alum-ʝo (1sg), halum-ʝo (1sg), alum-ke (2sg), halum-ke (2sg), alum (before noun)","is this /nal um/ ~ /n=al um/?; fossilized singular?; also /alum/, /halum/",BarlowKillian2023
tomo1244-1-0160,tomo1244-1,"mother, mama (vocative)",no,,also /anno/,BarlowKillian2023
tomo1244-1-0161,tomo1244-1,"man, older boy; male",nobuŋ,"robuŋ (du), horek (pl)",plural is /horek/,BarlowKillian2023
tomo1244-1-0162,tomo1244-1,boy,nobuŋ dukum,,literally 'man child',BarlowKillian2023
tomo1244-1-0163,tomo1244-1,"woman, older girl; female",nolo,,from *nholo?; from *no-lo?; cf. /holo/ 'women (plural)',BarlowKillian2023
tomo1244-1-0164,tomo1244-1,girl,nolo dukum,,literally 'woman child',BarlowKillian2023
tomo1244-1-0165,tomo1244-1,ancestor ,noroper,,prefix /no-/?; cf. /roper/ 'spirit type',BarlowKillian2023
tomo1244-1-0166,tomo1244-1,spirit type (TP: masalai),ple,,,BarlowKillian2023
tomo1244-1-0167,tomo1244-1,"older woman, wife",pulo,,cf. /βarpulo/ 'old woman',BarlowKillian2023
tomo1244-1-0168,tomo1244-1,wife,pulo hoa,"pulo hi-m [pulo him ~ pulo hem] (2sg), pulo hoa-n (3sg), pulo hoa (before noun)",/pulo/ 'older woman' plus /hoa/ 'rope'?; or /hoa/ is 'connected by marriage',BarlowKillian2023
tomo1244-1-0169,tomo1244-1,"ancestor; sorceress, witch",pupkoli,,,BarlowKillian2023
tomo1244-1-0170,tomo1244-1,grandchild,pupuo,"pupuo-ʝo (1sg), pupuo no-ʝo (1sg)",loan from Tok Pisin /bubu/ 'grandchild'?,BarlowKillian2023
tomo1244-1-0171,tomo1244-1,spirit type (TP: tambaran); giant,roper,e=roper (pl),cf. /roper bale/ 'spirit house'; cf. /noroper/ 'ancestor',BarlowKillian2023
tomo1244-1-0172,tomo1244-1,name,sae,"sae-ʝo (1sg), sae-ke (2sg), sae no-n (3sg), sae (before noun)",,BarlowKillian2023
tomo1244-1-0173,tomo1244-1,"spouse's sibling, sibling's spouse (same-generation affine, in-law)",talpu,"talpu-ʝo (1sg), talpu-n (3sg), talpu (before noun)",cf. /alpun/ 'child',BarlowKillian2023
tomo1244-1-0174,tomo1244-1,mother; aunt,tena,"tena-ʝo (1sg), teni-m (2sg), tena-ke (2sg), tena-n (3sg)",also refers to aunts,BarlowKillian2023
tomo1244-1-0175,tomo1244-1,"medicine man, shaman",topka,,cf. /pka/ 'good',BarlowKillian2023
tomo1244-1-0176,tomo1244-1,spirit type (TP: masalai),tora,,,BarlowKillian2023
